,Tweets,len,ID,USER,userName,User Location,Language,Date,Source,Likes,Retweets,Geo,Coordinates,Place
276,New York State is one of only 3 states that are on track to contain #COVID.  I can't stress enough how important it is that we don't blow this incredible progress now.  Wear a mask. Get tested. Be smart.  (Study by @CovidActNow) https://t.co/mzSVB0MwQd https://t.co/aKjfZH7UhZ,276,1275499242459738113,NYGovCuomo,Andrew Cuomo,New York,,2020-06-23 18:41:31,Twitter Web App,30812,6862,,,
277,"Breaking news out of Miami-Dade Co., FL — a major hospital now at capacity amid the big #COVID__19 spike in Florida https://t.co/mn0JFPZfxl",139,1275542258314620928,JesseRodriguez,Jesse Rodriguez,"New York, NY",,2020-06-23 21:32:27,Twitter for iPhone,1334,1244,,,
278,"Breaking News: The EU is prepared to bar American travelers when it reopens its borders on July 1 because the U.S. government has not controlled the coronavirus, according to draft lists that would also bar visitors from Brazil and Russia. https://t.co/UOIRziUH0c",263,1275486316432625665,nytimes,The New York Times,New York City,,2020-06-23 17:50:09,SocialFlow,26831,11552,,,
279,"Your Kentucky Election Day reminder that Mitch McConnell thinks states bearing the brunt of this pandemic should file for bankruptcy, but multibillion-dollar corporations deserve a $500,000,000,000 bailout.",206,1275497588175695875,RBReich,Robert Reich,"Berkeley, CA",,2020-06-23 18:34:57,Twitter Web App,9545,4246,,,
280,"The admin's stated reason that Barr can't testify before the House is that officials need to focus on fighting the pandemic, which is odd since the official actually in charge of fighting the pandemic, Dr. Fauci, is testifying before the House right now.",254,1275457598360129537,matthewamiller,Matthew Miller,"Washington, DC",,2020-06-23 15:56:02,Twitter Web App,71883,21051,,,
281,"BREAKING: Rep Welch asked Trump's medical chiefs to raise their hands if they agree with Trump's statements about coronavirus being like the flu, it going away, under control. Over and over again, no hands were raised. Trump's own people. No hands raised. #TrumpSlowsTestingWeDie",279,1275495774961442816,funder,Scott Dworkin,,,2020-06-23 18:27:44,Twitter Web App,12732,4474,,,
282,"Because of MAIL-IN BALLOTS, 2020 will be the most RIGGED Election in our nations history - unless this stupidity is ended. We voted during World War One &amp; World War Two with no problem, but now they are using Covid in order to cheat by using Mail-Ins!",255,1275062328971497472,realDonaldTrump,Donald J. Trump,"Washington, DC",,2020-06-22 13:45:23,Twitter for iPhone,167144,45524,,,
283,Want to practice your First and Second Amendment rights during the pandemic?  Too bad.  Want to riot in the streets during the pandemic?  No problem! https://t.co/nIu8fngUcg,173,1275489267935035394,Jim_Jordan,Rep. Jim Jordan,"Washington, D.C. ",,2020-06-23 18:01:53,Twitter for iPhone,14112,5582,,,
284,"Trump contradicts his own aides and says he was not kidding when he said he asked for a slowdown in coronavirus testing: “I don’t kid, let me just tell you.”",157,1275435545003388930,Acosta,Jim Acosta,"Washington, DC",,2020-06-23 14:28:25,Twitter for iPhone,52661,13444,,,
285,"It's worth repeating that this weekend, President Trump admitted he directed his administration to slow down coronavirus testing in the middle of a global pandemic.  He continues to prove just how unfit he is to lead our nation.",228,1275233359615180800,JoeBiden,Joe Biden,"Wilmington, DE",,2020-06-23 01:05:00,TweetDeck,155612,31945,,,
286,"If you think wearing a mask “cuts off your oxygen"", just wait until you find out what COVID does.",97,1273690255477149696,EM_RESUS,"Sam Ghali, M.D.",USA,,2020-06-18 18:53:15,Twitter for iPhone,218489,62656,,,
287,"Again, 120,000 Americans are dead from COVID-19 and the president ordered testing to be slowed down because big numbers would hurt him politically.   There aren't words for this level of betrayal. https://t.co/v2fvnqdmcU",220,1275444009402429442,HillaryClinton,Hillary Clinton,"New York, NY",,2020-06-23 15:02:03,Twitter Web App,44469,11401,,,
288,"We did a great job on CoronaVirus, including the very early ban on China, Ventilator production, and Testing, which is by far the most, and best, in the World. We saved millions of U.S. lives.! Yet the Fake News refuses to acknowledge this in a positive way. But they do give....",279,1275438921552257026,realDonaldTrump,Donald J. Trump,"Washington, DC",,2020-06-23 14:41:50,Twitter for iPhone,121103,25088,,,
289,"The E.U. is prepared to bar American travelers when it reopens borders July 1 because the U.S. has not controlled the coronavirus, according to draft lists. https://t.co/Q9wIoZBnSx",180,1275483775061749760,kylegriffin1,Kyle Griffin,"Manhattan, NY",,2020-06-23 17:40:03,Twitter for iPhone,23196,8631,,,
290,Actually you just got ROCKED by teens on TikTok who flooded the Trump campaign w/ fake ticket reservations &amp; tricked you into believing a million people wanted your white supremacist open mic enough to pack an arena during COVID  Shout out to Zoomers. Y’all make me so proud. ☺️ https://t.co/jGrp5bSZ9T,306,1274499021625794565,AOC,Alexandria Ocasio-Cortez,"Bronx + Queens, NYC",,2020-06-21 00:27:00,Twitter for iPhone,613995,115752,,,
291,"Dear Kejriwal ji,   It has already been decided in our meeting 3 days back and MHA has assigned the work of operating the 10,000 bed COVID Care Centre at Radha Swami Beas in Delhi to ITBP. The work is in full swing and a large part of the facility will be operational by 26th Jun. https://t.co/VLMOQdEseY",304,1275416392775290880,AmitShah,Amit Shah,,,2020-06-23 13:12:18,Twitter for iPhone,44892,11270,,,
292,"The White House has taken down the tents where people who were entering used to have to be tested for Covid symptoms. The strategy is clear: Pretend the pandemic is gone, and our Covid crisis will be over. Truth be damned. It’s idiotic and suicidal.",249,1275375747713073153,tribelaw,Laurence Tribe,,,2020-06-23 10:30:48,Twitter for iPhone,48206,13890,,,
293,The left is really panicked about the economy coming back. Ruins their narrative.  Expect more calls to shutdown states again citing supposed COVID concerns. No tax dollars to states that refuse to open.,203,1273300111930437632,IngrahamAngle,Laura Ingraham,DC,,2020-06-17 17:02:58,Twitter for iPhone,56812,17226,,,
294,"Just because some people and news outlets have moved on from coronavirus doesn’t mean the virus is gone. We are still in the midst of a deadly pandemic that has claimed more than 116,000 American lives.   Wear a mask.",217,1273419911658909697,KamalaHarris,Kamala Harris,California,,2020-06-18 00:59:00,Sprout Social,65383,14045,,,
295,it’s weird watching people just decide the pandemic is over,59,1273604066912894979,chescaleigh,Franchesca Ramsey,New York City,,2020-06-18 13:10:46,Twitter for iPhone,336531,64820,,,
296,BREAKING: Trump just lied on Hannity saying coronavirus doesn’t effect young people. It’s an impeachable lie.,109,1273435373507657734,funder,Scott Dworkin,,,2020-06-18 02:00:26,Twitter for iPhone,68652,14274,,,
297,"Vice President Pence claimed success because COVID-19 deaths are “down to” fewer than 750 a day.  That's more than 20,000 a month — and they're self-congratulating? Unbelievable.  It may be good enough for President Trump, but it will never be acceptable if I am President. https://t.co/9h08nxjC6k",297,1273416386841214976,JoeBiden,Joe Biden,"Wilmington, DE",,2020-06-18 00:45:00,Twitter Media Studio,39345,10312,,,
298,"The governor has informed local officials that if citizens are required to wear masks in public buildings, their governments will not receive any of the $100 million in federal coronavirus aid money. https://t.co/jKi68KbIni",223,1273590559077216257,OWHnews,Omaha World-Herald,"Omaha, Nebraska",,2020-06-18 12:17:06,SocialNewsDesk,4066,4759,,,
299,"If 80% of Americans Wore Masks, COVID-19 Infections Would Plummet, New Study Says https://t.co/4oDvKO9oyq via @VanityFair",121,1273274880172187649,jaketapper,Jake Tapper,,,2020-06-17 15:22:42,Twitter for iPhone,25828,11169,,,
300,UPDATED INFO | Gov. Ron DeSantis said 260 workers at the Orlando International Airport have tested positive for the coronavirus after nearly 500 employees were tested. https://t.co/tfiAN6MRtx,191,1273249034581532672,news6wkmg,News 6 WKMG,"Orlando, FL",,2020-06-17 13:40:00,SocialNewsDesk,6116,5577,,,
301,Arizona sheriff who refused to enforce lockdown now has COVID-19   https://t.co/txezR5Vvlp,90,1273434129338707969,thedailybeast,The Daily Beast,"New York, NY",,2020-06-18 01:55:30,SocialFlow,31063,10439,,,
